"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp"
"Otu0009",341.503569862073,-1.19175590424355,0.220158319499518,-5.41317678547304,6.19163058866392e-08,9.71161453232455e-07,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_9","0.0e+00","Control","Otu0009","D0_IAVvsControl"
"Otu0013",336.005567120961,-0.899049568166257,0.268779110663248,-3.34493839922207,0.000823008473982381,0.00444424575950486,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","4.0e-03","Control","Otu0013","D0_IAVvsControl"
"Otu0016",353.051023170164,0.728762703523886,0.259489631714661,2.80844632869665,0.00497811795758533,0.0209080954218584,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1","2.1e-02","IAV","Otu0016","D0_IAVvsControl"
"Otu0017",72.7206612035914,0.785901004303381,0.315535924202931,2.49068630232399,0.0127496633360491,0.0454657805757223,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter","4.5e-02","IAV","Otu0017","D0_IAVvsControl"
"Otu0019",89.0602004328998,0.800857957840076,0.26453493576843,3.0274184977259,0.00246652217624815,0.0116543172827725,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera","1.2e-02","IAV","Otu0019","D0_IAVvsControl"
"Otu0025",12.9340964692812,-2.87218584667076,0.810070275600229,-3.54560083635039,0.000391719083097802,0.00264410381091017,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","3.0e-03","Control","Otu0025","D0_IAVvsControl"
"Otu0028",43.3479145719873,-3.34007453363443,0.524695314959757,-6.36574110422657,1.94349015915725e-10,5.24742342972457e-09,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","0.0e+00","Control","Otu0028","D0_IAVvsControl"
"Otu0030",44.535787718042,0.891555608572388,0.260448302929777,3.42315768059649,0.000618981601329921,0.00354507644398046,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae_unclassified","4.0e-03","IAV","Otu0030","D0_IAVvsControl"
"Otu0032",110.259156746466,-0.744638512485698,0.268753576936118,-2.77071107657368,0.00559340339787966,0.0229815922217229,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002","2.3e-02","Control","Otu0032","D0_IAVvsControl"
"Otu0034",48.0016844317501,-1.08949771405182,0.329232252539193,-3.30920711943955,0.000935605962469962,0.0049119313029673,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","5.0e-03","Control","Otu0034","D0_IAVvsControl"
"Otu0037",88.6483519996559,2.54080873787243,0.736655832065691,3.44911236329675,0.000562432611755014,0.00332186761317805,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","3.0e-03","IAV","Otu0037","D0_IAVvsControl"
"Otu0038",24.3019915777222,-1.97956118524727,0.49479592352662,-4.00076292289981,6.3138590665701e-05,0.000518834505905108,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","1.0e-03","Control","Otu0038","D0_IAVvsControl"
"Otu0040",50.9251668975578,-2.62298171222408,0.322960485686643,-8.12167998399984,4.59774343783019e-16,4.34486754874953e-14,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","uncultured","0.0e+00","Control","Otu0040","D0_IAVvsControl"
"Otu0041",12.4915353409967,-3.2212723999178,0.631574769882128,-5.10038170226304,3.38969187951689e-07,3.7685397954629e-06,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","0.0e+00","Control","Otu0041","D0_IAVvsControl"
"Otu0046",5.18828946414004,2.34637025432874,0.657039083321934,3.57112737109289,0.000355447976548504,0.00248813583583953,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrionaceae_unclassified","2.0e-03","IAV","Otu0046","D0_IAVvsControl"
"Otu0047",24.9742890736592,-7.24463886572107,0.964553238431737,-7.51087506325736,5.87334258110169e-14,2.77515436957055e-12,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Empedobacter","0.0e+00","Control","Otu0047","D0_IAVvsControl"
"Otu0052",33.6348068379674,-6.87973040904523,0.900036539377713,-7.643834564541,2.10846281937057e-14,1.32833157620346e-12,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","0.0e+00","Control","Otu0052","D0_IAVvsControl"
"Otu0060",15.4995307079577,1.05918689687585,0.346954225143358,3.05281452167992,0.00226706015773333,0.0109865223028615,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","1.1e-02","IAV","Otu0060","D0_IAVvsControl"
"Otu0062",44.0312427625485,-3.86833662539191,0.614858350125688,-6.29142732566152,3.14560077145047e-10,7.43148182255173e-09,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001","0.0e+00","Control","Otu0062","D0_IAVvsControl"
"Otu0065",34.664694151411,1.35470473238317,0.385942703726802,3.5101187800719,0.000447906561587674,0.00273078516580872,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_6","3.0e-03","IAV","Otu0065","D0_IAVvsControl"
"Otu0068",12.2319794912509,1.33738414407714,0.342049546034381,3.90991351861849,9.23291708011794e-05,0.000698008531256916,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_AC2044_group","1.0e-03","IAV","Otu0068","D0_IAVvsControl"
"Otu0071",22.1643067531055,-1.07806802862851,0.305540849822291,-3.5283924531058,0.000418091798632656,0.00270312853013023,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaerovibrio","3.0e-03","Control","Otu0071","D0_IAVvsControl"
"Otu0082",6.69382417605208,-1.55495845933223,0.538129388439631,-2.88956242260065,0.00385778405957203,0.0173600282680741,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_XPB1014_group","1.7e-02","Control","Otu0082","D0_IAVvsControl"
"Otu0085",42.6998336164811,-0.869430318071356,0.357453455118619,-2.43228959077438,0.015003706034407,0.0497491305351391,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus","5.0e-02","Control","Otu0085","D0_IAVvsControl"
"Otu0087",92.6306417195459,4.33074876175,0.820531048865107,5.2779827987496,1.30613722436724e-07,1.5428745962838e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_unclassified","0.0e+00","IAV","Otu0087","D0_IAVvsControl"
"Otu0088",43.2198921472155,-2.41920384048756,0.420926362435923,-5.74733268424317,9.0662238621709e-09,1.55774209995482e-07,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group","0.0e+00","Control","Otu0088","D0_IAVvsControl"
"Otu0101",33.895499176095,-1.48705741584308,0.275402748147578,-5.39957362751596,6.6799465037153e-08,9.71161453232455e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_NK4A214_group","0.0e+00","Control","Otu0101","D0_IAVvsControl"
"Otu0107",9.07124788310349,-6.20602934120908,1.06468093897094,-5.82900389595354,5.57592019358108e-09,1.05384891658682e-07,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister","0.0e+00","Control","Otu0107","D0_IAVvsControl"
"Otu0108",8.56599385658813,1.43504510301531,0.525560771319078,2.73050269603182,0.00632378158710759,0.0243917289788436,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","uncultured","2.4e-02","IAV","Otu0108","D0_IAVvsControl"
"Otu0113",12.2243622169372,1.43263244586122,0.380938640118215,3.76079582112394,0.000169373641310727,0.0012312160849126,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","1.0e-03","IAV","Otu0113","D0_IAVvsControl"
"Otu0119",24.7428484614046,0.748171518393674,0.297655421598363,2.51354910445142,0.0119523137410486,0.043442063404965,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Eggerthellaceae_unclassified","4.3e-02","IAV","Otu0119","D0_IAVvsControl"
"Otu0124",79.1927289821842,-2.16923842519694,0.404309834864194,-5.36528730725924,8.08204672463063e-08,1.02666121107403e-06,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified","0.0e+00","Control","Otu0124","D0_IAVvsControl"
"Otu0128",4.00428549417014,2.74142579159111,0.600854776650576,4.56254306052621,5.05377242853089e-06,5.30646104995743e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Intestinibacter","0.0e+00","IAV","Otu0128","D0_IAVvsControl"
"Otu0138",17.6202732179424,1.64952394975425,0.403560737245871,4.08742426483691,4.36189002101103e-05,0.000412198606985542,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified","0.0e+00","IAV","Otu0138","D0_IAVvsControl"
"Otu0153",7.24026872958624,2.0059152629176,0.48892464222322,4.10270845379438,4.08341670279297e-05,0.000406192503593617,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ND3007_group","0.0e+00","IAV","Otu0153","D0_IAVvsControl"
"Otu0154",5.64690815659323,1.48512481024049,0.539585288874273,2.75234488571561,0.00591701698663943,0.0232982543848927,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Syntrophococcus","2.3e-02","IAV","Otu0154","D0_IAVvsControl"
"Otu0160",8.59585187904917,1.58911335899349,0.547542260032611,2.90226613540085,0.00370473658950606,0.0170779320833328,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia","1.7e-02","IAV","Otu0160","D0_IAVvsControl"
"Otu0171",8.85477520504282,1.28507556711459,0.445941187841453,2.88171535205103,0.00395516856484039,0.017384345552438,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobiaceae_ge","1.7e-02","IAV","Otu0171","D0_IAVvsControl"
"Otu0179",22.2583478760508,-4.56411595763327,0.628669195094054,-7.25996437116732,3.8719229723855e-13,1.46358688356172e-11,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fournierella","0.0e+00","Control","Otu0179","D0_IAVvsControl"
"Otu0181",3.09217225687813,2.65085013346264,0.658340148821618,4.02656611207363,5.65973313119207e-05,0.000486222528088774,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas","0.0e+00","IAV","Otu0181","D0_IAVvsControl"
"Otu0200",17.4305927371692,1.45916723313654,0.359173090176054,4.06257393175337,4.85345687117821e-05,0.000436811118406039,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unclassified","0.0e+00","IAV","Otu0200","D0_IAVvsControl"
"Otu0215",19.7858346481424,2.961344800857,0.419220275299277,7.06393506073369,1.61852406168719e-12,5.09835079431463e-11,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","0.0e+00","IAV","Otu0215","D0_IAVvsControl"
"Otu0219",7.05663190848552,2.06776252792892,0.587177716698686,3.52152758717511,0.000429068020655592,0.00270312853013023,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Fusicatenibacter","3.0e-03","IAV","Otu0219","D0_IAVvsControl"
"Otu0221",7.5404681384749,-1.75710821421885,0.66927224449786,-2.62540129022857,0.00865468992361606,0.0324214773601282,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","3.2e-02","Control","Otu0221","D0_IAVvsControl"
"Otu0223",3.36019193077988,-2.90492330427272,0.887447468847436,-3.27334676839573,0.0010628199965692,0.00542899944193456,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11_gut_group","5.0e-03","Control","Otu0223","D0_IAVvsControl"
"Otu0238",7.90697313339466,5.43859619650452,0.653152996891228,8.32668030674325,8.31408714388926e-17,1.57136247019507e-14,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_RF16_group","Bacteroidales_RF16_group_ge","0.0e+00","IAV","Otu0238","D0_IAVvsControl"
"Otu0246",4.86834841278114,-1.38995143975044,0.570820070121696,-2.43500800428078,0.0148914602862431,0.0497491305351391,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","5.0e-02","Control","Otu0246","D0_IAVvsControl"
"Otu0254",8.82679475181324,2.41460906417756,0.782866078089458,3.08431944077878,0.00204018407392315,0.0101472313150388,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinotignum","1.0e-02","IAV","Otu0254","D0_IAVvsControl"
"Otu0261",6.38750707287052,-1.31858963383621,0.541602718763281,-2.43460674799996,0.0149079818352361,0.0497491305351391,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","5.0e-02","Control","Otu0261","D0_IAVvsControl"
"Otu0281",4.02814633855238,2.64314528201588,0.665729781783202,3.97029749057649,7.17829465842976e-05,0.000565290704351344,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Schwartzia","1.0e-03","IAV","Otu0281","D0_IAVvsControl"
"Otu0326",21.6541404336111,-1.347486199031,0.398393034904539,-3.38230360717495,0.000718806540692448,0.00399571871149625,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified","4.0e-03","Control","Otu0326","D0_IAVvsControl"
"Otu0365",9.60985547651977,-5.55196521499218,1.03507712472799,-5.3638179053094,8.14810484979387e-08,1.02666121107403e-06,"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","0.0e+00","Control","Otu0365","D0_IAVvsControl"
"Otu0372",2.84015221968956,-3.372586534706,1.17630283332328,-2.86710738014444,0.0041424243553647,0.0177935955264529,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","1.8e-02","Control","Otu0372","D0_IAVvsControl"
"Otu0404",4.58867917467429,-1.35042748721724,0.515091612744878,-2.62172292035766,0.00874865262098698,0.0324214773601282,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","uncultured","3.2e-02","Control","Otu0404","D0_IAVvsControl"
"Otu0417",8.58099931892493,-6.19492005848132,1.02230334923432,-6.05976695970052,1.36318904150126e-09,2.86269698715264e-08,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","F082","F082_ge","0.0e+00","Control","Otu0417","D0_IAVvsControl"
"Otu0450",1.22428594506732,-3.43425609798399,1.38967712588265,-2.47126187372677,0.0134637185122572,0.0471230147929002,"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","4.7e-02","Control","Otu0450","D0_IAVvsControl"
"Otu0685",1.42480788705472,-3.25764266317596,1.18302051321761,-2.75366540713292,0.00589319825278126,0.0232982543848927,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Hydrogenoanaerobacterium","2.3e-02","Control","Otu0685","D0_IAVvsControl"
"Otu0014",61.4809785544887,0.755255327500001,0.167041018325994,4.52137645632678,6.14388135142007e-06,6.04770236545222e-05,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium","0.0e+00","IAV","Otu0014","D1_IAVvsControl"
"Otu0015",117.743046281651,-1.1183887357023,0.13794493188882,-8.1075014528529,5.16712506633429e-16,1.48685720210235e-14,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","0.0e+00","Control","Otu0015","D1_IAVvsControl"
"Otu00171",57.5362240377817,-0.696927932412147,0.163799128510748,-4.2547719194148,2.09262213123085e-05,0.000169312154254133,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter","0.0e+00","Control","Otu0017","D1_IAVvsControl"
"Otu00251",32.7469456783137,-3.90507634022372,0.765635723899342,-5.10043643253136,3.38871179884964e-07,4.30850500139454e-06,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","0.0e+00","Control","Otu0025","D1_IAVvsControl"
"Otu00281",145.0460049106,-5.48281609054401,0.381118814463538,-14.3861071205881,6.32576635374334e-47,1.12598641096632e-44,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","0.0e+00","Control","Otu0028","D1_IAVvsControl"
"Otu0029",27.773829208354,-0.864852696635887,0.329902036393259,-2.62154397739135,0.00875324682180397,0.0338712594408936,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","3.4e-02","Control","Otu0029","D1_IAVvsControl"
"Otu00301",41.2255189717544,0.878538286225231,0.170698499875036,5.14672528972654,2.65073068379333e-07,3.99148655140291e-06,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae_unclassified","0.0e+00","IAV","Otu0030","D1_IAVvsControl"
"Otu00321",78.3350266526975,0.895566239892163,0.150768770929545,5.93999827928997,2.85025068388575e-09,5.63716246368514e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002","0.0e+00","IAV","Otu0032","D1_IAVvsControl"
"Otu0036",43.806576142384,-0.556213347263999,0.192528526814311,-2.88899186249139,0.00386479075421776,0.0181034935329148,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","1.8e-02","Control","Otu0036","D1_IAVvsControl"
"Otu00371",129.931241337087,3.94344286244452,0.768874242445568,5.12885286662948,2.9151306274291e-07,3.99148655140291e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","0.0e+00","IAV","Otu0037","D1_IAVvsControl"
"Otu00381",118.803802134501,-3.59805214770608,0.29636969007532,-12.1404187681664,6.44951071703149e-34,5.74006453815803e-32,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","0.0e+00","Control","Otu0038","D1_IAVvsControl"
"Otu00401",27.7777505534414,-3.33153835520016,0.489961998708613,-6.79958520044628,1.04920800338161e-11,2.33448780752409e-10,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","uncultured","0.0e+00","Control","Otu0040","D1_IAVvsControl"
"Otu00411",29.9319847364821,-3.96213794546508,0.341795991078172,-11.5921135674142,4.51843151391653e-31,2.68093603159047e-29,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","0.0e+00","Control","Otu0041","D1_IAVvsControl"
"Otu00461",8.66439713990157,1.10203196480355,0.408596957143012,2.69711251035536,0.00699436340650581,0.0282953792354099,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrionaceae_unclassified","2.8e-02","IAV","Otu0046","D1_IAVvsControl"
"Otu00471",74.0104589230502,-8.95768302409255,0.780950116115509,-11.4702371371024,1.86148470958561e-30,8.28360695765596e-29,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Empedobacter","0.0e+00","Control","Otu0047","D1_IAVvsControl"
"Otu00521",28.2362228796815,-7.98246551757463,0.79853569289166,-9.99637910820053,1.580714212919e-23,5.62734259799163e-22,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc","0.0e+00","Control","Otu0052","D1_IAVvsControl"
"Otu0053",29.454620021064,0.511795002086815,0.206602882475549,2.47719197309546,0.0132420655409297,0.0445123957710731,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","4.5e-02","IAV","Otu0053","D1_IAVvsControl"
"Otu0054",4.27351169875674,-2.69429035892789,0.631511010656026,-4.26641865852666,1.98635870294421e-05,0.000169312154254133,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Succiniclasticum","0.0e+00","Control","Otu0054","D1_IAVvsControl"
"Otu0059",20.3095186135861,0.747159424801316,0.293255173626214,2.5478132766164,0.0108400474833714,0.0401985094175023,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-005","4.0e-02","IAV","Otu0059","D1_IAVvsControl"
"Otu0061",11.1007991749243,-2.26946118170922,0.441527272250428,-5.14002491882769,2.74702035575162e-07,3.99148655140291e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","0.0e+00","Control","Otu0061","D1_IAVvsControl"
"Otu00621",3.59123476657752,1.62443382182933,0.542943224375371,2.99190366303615,0.00277243737225363,0.0137081625628096,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-001","1.4e-02","IAV","Otu0062","D1_IAVvsControl"
"Otu0067",113.846432960474,-1.31145027786721,0.330061150290848,-3.97335547280123,7.08671653977775e-05,0.000485167516954015,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","0.0e+00","Control","Otu0067","D1_IAVvsControl"
"Otu0080",17.8368775608347,0.642463405377354,0.248844310857661,2.58178860172875,0.00982897714559347,0.0372246368492689,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ge","3.7e-02","IAV","Otu0080","D1_IAVvsControl"
"Otu00821",1.84973571036238,3.30658277363614,1.16211975256399,2.84530296154146,0.00443692004394025,0.0197442941955341,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_XPB1014_group","2.0e-02","IAV","Otu0082","D1_IAVvsControl"
"Otu0083",21.5372062753414,0.643966160738943,0.20262363987157,3.17813933826829,0.0014822349905417,0.00824493213488821,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_ge","8.0e-03","IAV","Otu0083","D1_IAVvsControl"
"Otu0086",48.9640699334814,-1.15326414430524,0.325213689451519,-3.54617342907751,0.000390868875122355,0.00239912619902687,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus","2.0e-03","Control","Otu0086","D1_IAVvsControl"
"Otu0093",38.3052702804718,-1.59979736084535,0.375381201055794,-4.26179402789956,2.02792312135096e-05,0.000169312154254133,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","0.0e+00","Control","Otu0093","D1_IAVvsControl"
"Otu0094",4.66190717142519,1.21544551868652,0.481020416323642,2.52680650849701,0.0115104899150812,0.0409773440976891,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenisphaera","4.1e-02","IAV","Otu0094","D1_IAVvsControl"
"Otu0099",5.25891118884494,-3.95715813844404,0.802135176253112,-4.93328089278978,8.08597391545754e-07,9.59535571300961e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderiaceae_unclassified","0.0e+00","Control","Otu0099","D1_IAVvsControl"
"Otu01071",11.2777583432776,-6.65993006880964,0.822979735808806,-8.09245936324837,5.84719124422272e-16,1.48685720210235e-14,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister","0.0e+00","Control","Otu0107","D1_IAVvsControl"
"Otu01081",4.33651468414908,-1.61287497609903,0.54282109541835,-2.97128278490356,0.00296558575118145,0.0142668719921702,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","uncultured","1.4e-02","Control","Otu0108","D1_IAVvsControl"
"Otu0109",12.8826603672895,1.59338240909365,0.399926474867217,3.98418836768105,6.77111484531484e-05,0.000482103376986416,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium","0.0e+00","IAV","Otu0109","D1_IAVvsControl"
"Otu0110",17.5312722584792,1.7770639055772,0.325826912431509,5.4540120468126,4.92458634749229e-08,8.76576369853628e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenellaceae_R-7_group","0.0e+00","IAV","Otu0110","D1_IAVvsControl"
"Otu01131",9.97309214292807,0.695031477239272,0.280607789026683,2.47687877677972,0.0132536908756566,0.0445123957710731,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","4.5e-02","IAV","Otu0113","D1_IAVvsControl"
"Otu0121",19.6135665826614,-2.13365008069095,0.877020610099421,-2.43283915579712,0.0149809540790442,0.0493816634457383,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified","4.9e-02","Control","Otu0121","D1_IAVvsControl"
"Otu0129",16.1266899282619,-1.26245425968439,0.415843692807056,-3.03588651582639,0.00239829612814976,0.0125636115823081,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","1.3e-02","Control","Otu0129","D1_IAVvsControl"
"Otu0130",18.3220536727107,-1.03239011123286,0.340091058080558,-3.03562850802247,0.00240034909638749,0.0125636115823081,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_ge","1.3e-02","Control","Otu0130","D1_IAVvsControl"
"Otu01381",8.00272173105542,1.22338802660516,0.371654613306042,3.2917337302033,0.000995718376331532,0.00571735067700041,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified","6.0e-03","IAV","Otu0138","D1_IAVvsControl"
"Otu0139",2.89286630213646,1.71220062589111,0.652252773180779,2.62505687410325,0.00866344948122557,0.0338712594408936,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","3.4e-02","IAV","Otu0139","D1_IAVvsControl"
"Otu0143",15.1341919051126,-2.38387856193692,0.488067586041902,-4.88432059434542,1.03786090958978e-06,1.15462026191863e-05,"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacteriaceae_unclassified","0.0e+00","Control","Otu0143","D1_IAVvsControl"
"Otu0180",2.46827457509171,-3.81824177539789,1.08522144363754,-3.51839875426676,0.000434159448307959,0.00257601272662722,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","3.0e-03","Control","Otu0180","D1_IAVvsControl"
"Otu0201",5.39601707998554,1.65370136960035,0.366601464517006,4.51089679027629,6.45541263728046e-06,6.04770236545222e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-010","0.0e+00","IAV","Otu0201","D1_IAVvsControl"
"Otu02211",11.923065498911,-1.19900294220838,0.416741597782522,-2.87708966080724,0.00401361535950115,0.0183185521536206,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","1.8e-02","Control","Otu0221","D1_IAVvsControl"
