OTU,SRD129_P152_N_D0,SRD129_P152_N_D1,SRD129_P152_N_D10,SRD129_P152_N_D14,SRD129_P152_N_D21,SRD129_P152_N_D3,SRD129_P152_N_D36,SRD129_P152_N_D42,SRD129_P152_N_D7,SRD129_P153_N_D0,SRD129_P153_N_D1,SRD129_P153_N_D10,SRD129_P153_N_D14,SRD129_P153_N_D21,SRD129_P153_N_D3,SRD129_P153_N_D36,SRD129_P153_N_D42,SRD129_P153_N_D7,SRD129_P154_N_D0,SRD129_P154_N_D1,SRD129_P154_N_D10,SRD129_P154_N_D14,SRD129_P154_N_D21,SRD129_P154_N_D3,SRD129_P154_N_D36,SRD129_P154_N_D42,SRD129_P154_N_D7,SRD129_P156_N_D0,SRD129_P156_N_D1,SRD129_P156_N_D10,SRD129_P156_N_D14,SRD129_P156_N_D21,SRD129_P156_N_D3,SRD129_P156_N_D36,SRD129_P156_N_D42,SRD129_P156_N_D7,SRD129_P157_N_D0,SRD129_P157_N_D1,SRD129_P157_N_D10,SRD129_P157_N_D14,SRD129_P157_N_D21,SRD129_P157_N_D3,SRD129_P157_N_D36,SRD129_P157_N_D42,SRD129_P157_N_D7,SRD129_P159_N_D0,SRD129_P159_N_D1,SRD129_P159_N_D10,SRD129_P159_N_D14,SRD129_P159_N_D21,SRD129_P159_N_D3,SRD129_P159_N_D36,SRD129_P159_N_D42,SRD129_P159_N_D7,SRD129_P160_N_D0,SRD129_P160_N_D1,SRD129_P160_N_D10,SRD129_P160_N_D14,SRD129_P160_N_D21,SRD129_P160_N_D3,SRD129_P160_N_D36,SRD129_P160_N_D42,SRD129_P160_N_D7,SRD129_P162_N_D0,SRD129_P162_N_D1,SRD129_P162_N_D10,SRD129_P162_N_D14,SRD129_P162_N_D21,SRD129_P162_N_D3,SRD129_P162_N_D36,SRD129_P162_N_D42,SRD129_P162_N_D7,SRD129_P163_N_D0,SRD129_P163_N_D1,SRD129_P163_N_D10,SRD129_P163_N_D14,SRD129_P163_N_D21,SRD129_P163_N_D3,SRD129_P163_N_D36,SRD129_P163_N_D42,SRD129_P163_N_D7,SRD129_P164_N_D0,SRD129_P164_N_D1,SRD129_P164_N_D10,SRD129_P164_N_D14,SRD129_P164_N_D21,SRD129_P164_N_D3,SRD129_P164_N_D36,SRD129_P164_N_D42,SRD129_P164_N_D7,SRD129_P165_N_D0,SRD129_P165_N_D1,SRD129_P165_N_D10,SRD129_P165_N_D14,SRD129_P165_N_D21,SRD129_P165_N_D3,SRD129_P165_N_D36,SRD129_P165_N_D42,SRD129_P165_N_D7,SRD129_P166_N_D0,SRD129_P166_N_D1,SRD129_P166_N_D10,SRD129_P166_N_D14,SRD129_P166_N_D21,SRD129_P166_N_D3,SRD129_P166_N_D36,SRD129_P166_N_D42,SRD129_P166_N_D7,SRD129_P167_N_D0,SRD129_P167_N_D1,SRD129_P167_N_D10,SRD129_P167_N_D14,SRD129_P167_N_D21,SRD129_P167_N_D3,SRD129_P167_N_D36,SRD129_P167_N_D42,SRD129_P167_N_D7,SRD129_P168_N_D0,SRD129_P168_N_D1,SRD129_P168_N_D10,SRD129_P168_N_D14,SRD129_P168_N_D21,SRD129_P168_N_D3,SRD129_P168_N_D36,SRD129_P168_N_D42,SRD129_P168_N_D7,SRD129_P169_N_D0,SRD129_P169_N_D1,SRD129_P169_N_D10,SRD129_P169_N_D14,SRD129_P169_N_D21,SRD129_P169_N_D3,SRD129_P169_N_D36,SRD129_P169_N_D42,SRD129_P169_N_D7,SRD129_P170_N_D0,SRD129_P170_N_D1,SRD129_P170_N_D10,SRD129_P170_N_D14,SRD129_P170_N_D21,SRD129_P170_N_D3,SRD129_P170_N_D36,SRD129_P170_N_D42,SRD129_P170_N_D7,SRD129_P171_N_D0,SRD129_P171_N_D1,SRD129_P171_N_D10,SRD129_P171_N_D14,SRD129_P171_N_D21,SRD129_P171_N_D3,SRD129_P171_N_D36,SRD129_P171_N_D42,SRD129_P171_N_D7,X,Taxonomy
Otu0001,1725,1493,1022,1151,1291,1081,1605,259,1263,668,507,1131,1090,1407,238,1161,653,915,1461,245,1083,1130,1022,1348,497,552,836,2053,2154,2571,1484,2030,1238,1790,1112,1797,1676,1894,1918,1075,1262,872,279,1077,1553,2063,2563,1848,1749,1166,1681,908,994,2368,1620,1432,1418,870,622,1280,449,385,1499,1457,934,1672,1391,1772,1145,569,675,1036,629,960,1170,1787,1372,920,646,545,743,1664,850,1553,2369,1746,1519,1253,946,2282,1575,1292,2037,2033,1478,1191,684,389,1774,1589,1586,2001,1394,1383,1928,983,312,1512,1194,826,1689,1395,1474,1024,825,476,1455,1221,1427,1133,1095,1108,1303,237,479,1110,1748,841,2227,1714,1366,1626,854,687,1598,1649,1328,1906,1134,1214,1383,812,233,1127,2027,1120,1695,1011,1154,995,449,390,1169,1,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;
Otu0002,699,1044,604,1086,666,309,9,6,769,1150,1586,742,453,79,1147,2,4,732,1732,2393,1272,827,438,1508,57,8,2279,891,919,585,642,300,1745,12,4,1637,1103,1156,894,765,227,1537,1,0,1137,381,184,488,436,96,373,0,6,346,1181,977,527,136,562,750,37,14,463,856,1579,794,177,69,1161,13,6,1365,660,1558,925,392,620,729,250,774,1895,397,1176,320,27,5,250,1,0,803,321,1157,711,124,215,332,6,22,989,487,923,231,496,458,340,4,11,564,409,777,299,205,70,532,3,6,784,859,1815,846,131,40,898,10,2,942,889,1768,275,161,104,617,3,7,586,1160,1235,434,333,98,734,2,0,890,535,1276,154,181,35,489,10,3,622,2,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;
Otu0003,166,36,593,136,358,646,249,115,576,633,354,715,859,794,580,770,634,939,2,1,187,313,347,4,186,83,226,1,1,25,187,98,0,489,786,29,166,206,226,102,633,67,33,240,318,605,245,466,512,574,599,595,397,430,181,368,632,149,443,462,225,64,422,50,23,66,212,182,33,105,169,201,52,79,73,224,318,26,548,342,88,602,719,606,406,336,276,925,377,173,787,457,204,562,512,767,1169,262,220,619,387,632,800,850,464,839,277,772,660,724,548,722,667,653,868,535,605,2,0,119,118,92,25,19,62,236,691,665,597,1005,835,343,362,461,996,202,267,381,462,706,85,484,15,400,734,579,600,437,707,401,347,78,535,3,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Weeksellaceae_unclassified;
Otu0004,638,862,252,43,344,1268,205,27,839,163,306,472,77,62,217,60,216,403,153,22,125,87,197,211,341,265,227,407,16,187,197,158,238,586,526,322,107,155,269,377,656,56,115,1168,518,170,205,376,47,87,458,35,155,346,743,845,593,84,323,672,46,216,1206,344,126,379,516,440,189,494,514,263,352,110,100,83,261,218,277,621,198,631,593,693,141,196,668,464,794,362,618,765,390,267,147,855,63,101,534,576,609,321,80,121,346,137,177,218,699,600,508,214,160,486,127,293,284,149,27,297,23,335,202,193,709,105,131,130,225,124,73,128,97,324,92,405,663,409,192,573,226,119,163,412,44,224,316,122,286,92,215,194,318,4,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
Otu0005,3,3,1,16,133,4,187,57,0,646,295,254,236,423,991,547,943,527,6,7,322,193,194,56,77,43,241,0,0,3,0,1,3,271,431,1,28,65,77,48,129,138,13,33,84,187,149,186,226,286,126,504,434,251,46,16,53,77,197,24,599,23,46,3,2,2,2,2,4,3,272,7,1,32,23,65,237,10,981,660,34,16,4,43,60,131,42,729,911,24,0,1,0,1,111,0,1146,1580,0,91,71,72,154,150,195,638,676,211,140,352,148,349,265,351,1033,1677,295,166,123,206,287,142,177,16,19,257,62,27,170,434,276,111,959,689,262,33,10,128,133,194,46,897,224,26,277,302,429,333,391,445,582,329,289,5,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;
Otu0006,260,384,315,90,86,460,291,151,633,107,177,283,199,224,127,397,236,329,0,0,60,61,76,0,251,96,40,56,76,62,60,78,84,116,547,52,96,127,99,72,50,30,32,23,74,150,264,184,231,126,315,248,171,270,8,44,351,75,107,189,37,54,233,106,70,107,154,140,80,93,302,212,78,50,129,79,132,48,213,178,143,176,252,139,109,78,182,308,143,109,186,227,236,251,200,386,401,56,165,196,265,98,166,241,226,281,196,200,383,476,233,284,308,358,463,145,212,10,33,71,27,52,66,23,11,151,324,330,305,312,159,134,114,310,151,107,146,234,137,248,59,77,17,147,40,41,186,98,237,154,166,69,159,6,Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;Neisseriaceae_unclassified;
Otu0007,101,77,99,133,141,103,213,21,70,180,113,231,238,358,276,344,154,238,37,0,136,94,121,36,123,21,93,15,122,407,109,148,109,316,310,158,73,129,92,50,128,59,12,22,61,326,284,245,247,191,241,204,190,73,136,139,163,53,174,140,221,27,146,41,12,38,54,191,18,29,35,67,18,25,41,120,88,48,212,106,30,137,115,122,145,122,54,159,128,76,81,58,151,299,299,171,323,155,118,239,186,334,348,358,250,414,82,299,160,144,198,252,293,208,458,186,368,51,12,106,40,43,117,5,4,141,133,100,260,225,274,152,213,130,299,100,149,209,156,200,68,189,6,123,420,295,340,160,226,253,178,37,219,7,Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacteriaceae_unclassified;
Otu0008,30,46,16,24,91,9,139,24,3,184,393,20,176,18,102,112,270,14,183,872,21,134,21,75,70,127,137,69,315,42,60,34,32,61,82,72,140,87,38,110,15,100,10,270,184,13,47,2,17,2,5,26,27,14,74,96,21,47,80,23,126,627,50,106,120,109,176,56,114,19,15,99,48,366,77,41,23,87,13,25,116,39,179,21,10,4,25,4,35,25,9,9,2,5,2,6,20,23,6,23,35,25,85,82,11,40,29,32,7,5,20,6,8,7,3,4,6,92,84,188,179,183,44,26,2,130,25,36,3,10,39,8,11,8,13,41,51,15,18,25,23,67,120,29,30,131,7,17,4,26,4,0,18,8,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
Otu0009,29,17,175,39,215,34,61,233,5,18,32,41,23,128,60,65,63,4,20,40,144,27,230,93,165,100,4,16,34,14,37,195,63,56,23,4,10,10,62,39,171,101,235,31,6,15,8,46,19,112,37,71,66,8,6,17,34,37,221,108,155,55,6,48,41,58,26,106,75,58,28,41,240,44,75,39,86,102,24,15,73,54,14,40,53,177,167,11,16,23,58,10,39,25,37,43,17,28,15,37,7,24,64,65,75,23,86,20,34,8,22,40,75,37,14,20,8,73,23,44,185,144,80,70,74,18,21,13,15,18,71,105,72,65,22,37,12,22,49,78,139,40,120,26,9,2,22,69,111,52,105,92,24,9,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;
Otu0010,0,1,35,50,49,7,133,39,2,0,0,9,39,48,7,67,45,4,0,1,19,55,120,19,164,83,4,4,6,13,34,69,12,50,6,2,0,0,29,56,63,38,249,23,4,0,0,11,27,75,13,74,65,1,1,0,18,103,105,8,157,0,5,3,6,73,208,97,24,305,78,46,11,9,107,196,145,48,92,29,44,2,1,37,124,167,38,39,33,16,1,0,33,78,97,13,30,59,29,1,0,12,68,62,14,97,28,11,2,2,21,91,130,8,61,32,9,10,1,55,244,270,28,406,48,15,0,0,10,39,91,34,110,12,7,1,1,32,229,108,50,82,37,30,1,1,14,245,133,73,165,25,13,10,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
Otu0011,8,3,211,66,84,12,56,229,8,7,4,47,17,44,13,46,72,4,4,9,85,20,95,31,101,103,8,5,2,11,40,63,24,13,17,3,5,2,48,31,67,34,107,44,7,3,3,34,10,41,12,40,73,1,4,5,41,26,70,21,97,26,4,8,20,29,19,78,62,26,14,21,14,21,48,16,65,109,12,5,62,3,3,22,32,132,126,5,4,13,6,3,21,12,37,29,3,10,14,6,3,14,23,34,33,17,45,11,9,7,14,18,48,36,8,2,5,9,9,12,98,107,50,39,20,12,5,8,7,10,61,70,30,15,8,8,6,10,23,54,94,13,64,18,3,4,7,66,81,79,84,20,12,11,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;
Otu0012,6,3,210,65,9,3,97,57,1,3,2,27,6,8,5,100,14,4,5,6,93,18,16,13,231,36,5,6,2,11,58,10,6,35,12,2,6,2,51,29,15,7,294,28,5,9,0,40,13,35,3,119,17,7,3,0,38,73,2,7,230,136,4,1,6,16,15,42,8,146,37,1,30,5,17,16,24,11,86,39,5,9,2,17,10,41,15,42,26,2,6,1,9,14,19,2,42,52,1,4,0,2,48,22,4,82,44,0,3,2,10,13,34,1,40,26,3,9,3,7,91,51,5,175,160,0,1,0,2,6,26,10,230,40,2,5,2,11,16,19,6,87,281,2,1,1,10,45,41,2,175,284,1,12,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;
Otu0013,3,0,12,2,14,1,42,200,0,11,1,5,2,11,0,17,118,1,6,2,19,5,40,9,52,346,0,2,3,3,2,20,0,18,36,0,3,1,5,12,13,8,43,150,1,2,3,4,1,12,3,16,162,0,2,3,5,2,12,2,28,236,0,10,9,76,35,20,17,57,133,9,28,6,84,44,21,31,25,31,8,11,7,41,17,24,17,8,36,2,4,2,21,8,16,5,11,184,1,4,0,16,16,8,7,22,167,2,17,1,7,18,23,5,23,71,1,37,3,51,38,60,26,65,340,6,2,1,6,11,20,23,17,105,0,10,5,28,52,19,17,16,125,10,2,0,21,33,28,5,35,127,8,13,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
Otu0014,28,8,38,40,25,15,26,126,2,17,15,12,17,26,24,23,23,3,19,21,35,17,31,34,46,99,4,20,22,14,39,35,30,7,9,4,15,9,15,37,26,55,82,30,5,9,3,19,10,53,36,33,32,1,8,13,14,52,56,24,63,85,2,21,16,40,21,40,25,84,52,19,115,14,29,18,25,23,29,8,27,21,8,10,19,37,10,6,8,3,29,1,7,19,12,5,13,34,7,17,0,12,27,18,6,21,86,4,10,3,10,30,36,4,7,19,4,44,7,29,42,33,13,51,73,14,10,3,5,2,26,14,45,59,2,9,13,11,48,29,26,22,111,18,4,0,12,37,26,25,67,76,11,14,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium;
Otu0015,39,5,22,36,19,19,24,8,1,40,11,13,27,8,10,11,56,3,29,16,30,85,25,22,7,100,2,32,18,19,24,22,26,7,20,3,38,7,24,49,16,25,3,41,7,13,5,17,28,18,5,0,71,6,18,5,16,98,29,3,15,10,1,56,28,41,189,2,57,35,278,20,25,42,73,78,13,46,12,43,14,13,9,18,64,14,30,5,63,4,14,14,5,34,10,11,5,76,8,6,6,9,22,4,11,5,10,8,21,11,8,35,9,7,3,53,4,54,17,29,80,25,26,20,26,12,13,7,7,7,9,18,3,21,4,22,9,19,60,5,31,8,9,13,8,10,8,101,7,21,6,14,28,15,Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;
Otu0016,22,9,12,48,10,3,28,40,0,25,18,2,33,22,3,13,12,1,23,25,10,52,36,13,63,93,1,28,27,10,46,32,13,10,7,3,16,7,6,47,15,17,53,30,4,7,3,12,15,23,5,26,31,1,11,13,6,76,38,7,42,27,1,35,26,30,33,29,30,82,38,31,22,24,25,47,37,50,21,23,14,7,6,9,29,43,14,10,23,3,7,6,10,17,27,13,11,62,9,5,5,9,5,13,12,23,21,7,31,6,10,18,31,12,19,31,13,36,17,23,38,72,25,77,74,12,4,7,3,11,28,16,16,36,4,13,9,5,37,29,44,30,61,38,0,7,10,45,32,46,35,55,23,16,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;
Otu0017,15,4,11,57,28,5,9,40,4,11,8,3,47,28,12,14,9,5,13,10,16,92,71,22,25,77,11,14,9,8,111,45,21,5,5,9,9,4,17,77,32,41,22,23,19,7,2,7,50,52,13,10,30,4,5,4,14,124,75,9,20,17,9,17,11,19,52,38,41,44,28,64,19,16,23,39,30,59,10,11,37,5,14,10,16,39,20,3,7,11,5,8,10,25,48,15,4,25,24,7,0,14,14,11,8,11,19,28,14,6,7,27,35,10,7,8,7,9,13,16,37,74,38,50,22,23,3,6,2,4,26,26,14,10,6,2,4,6,32,31,32,16,22,54,0,1,5,57,37,61,20,27,32,17,Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Terrisporobacter;
Otu0018,17,8,10,15,12,22,7,4,9,17,68,4,9,7,18,4,6,9,51,27,10,38,11,32,1,9,13,14,35,11,10,6,22,1,0,20,24,17,5,26,5,30,1,4,28,13,3,3,39,7,2,3,7,16,13,25,5,150,7,6,3,5,21,25,13,32,60,7,58,41,7,43,34,26,75,17,15,72,7,2,119,5,11,30,16,12,28,3,3,19,8,17,3,9,0,9,5,20,16,4,3,9,2,4,23,9,4,18,7,14,66,11,3,26,2,5,6,64,39,35,42,37,45,50,5,35,7,17,6,2,6,24,4,8,26,15,5,44,18,7,57,3,5,53,8,19,10,16,8,15,5,0,33,18,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;
Otu0019,15,4,4,5,19,13,14,34,5,17,8,6,14,14,21,15,13,2,11,18,16,14,38,22,35,37,6,22,12,7,5,22,41,16,3,3,15,19,7,23,28,72,58,11,6,6,5,8,6,34,29,25,32,2,3,11,8,11,65,20,55,13,3,25,32,53,31,32,27,92,27,18,11,29,49,40,36,28,19,6,21,11,9,36,20,16,20,12,8,10,3,6,14,14,19,7,9,9,4,4,0,16,18,16,8,20,2,6,8,5,8,18,21,12,12,7,2,16,5,23,35,52,19,38,7,11,4,7,6,4,27,29,39,6,1,8,8,9,38,28,20,31,31,13,3,2,16,46,33,46,65,22,7,19,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;
Otu0020,6,14,2,3,1,9,2,0,1,4,15,2,6,0,10,1,3,12,10,17,1,13,4,28,4,5,7,25,12,1,4,2,8,1,2,1,17,14,2,3,0,32,1,0,11,19,2,6,16,3,2,1,16,6,12,3,4,17,7,2,1,0,5,7,21,6,37,4,31,29,4,16,5,13,32,28,40,23,9,20,13,2,5,1,19,34,2,2,16,6,46,10,23,12,115,36,2,7,5,7,24,27,12,7,1,9,2,19,12,13,53,23,10,8,8,3,15,37,37,27,48,36,23,191,3,122,6,6,6,6,32,0,32,0,4,3,16,10,68,18,7,149,2,53,2,12,39,60,21,8,79,3,27,20,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;
Otu0021,0,0,0,10,0,0,45,78,0,0,0,0,1,1,0,25,51,0,0,2,0,1,3,1,88,175,0,0,0,0,23,1,0,14,22,0,1,1,0,1,1,1,114,163,0,1,0,0,0,2,0,31,83,0,0,0,0,7,0,1,92,326,0,0,0,0,0,3,0,51,86,0,6,0,0,0,4,0,35,49,0,1,0,0,0,7,0,17,53,0,1,0,0,0,1,0,7,87,0,1,0,0,0,2,0,29,188,0,0,0,0,0,2,0,14,62,0,3,0,0,1,0,0,56,211,0,0,0,0,0,1,0,45,156,0,1,0,0,0,3,0,33,234,0,0,0,0,2,2,1,60,355,0,21,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;
Otu0022,9,1,1,70,2,3,6,31,0,14,9,4,8,3,9,4,11,0,12,5,2,15,10,10,3,78,0,11,9,1,80,4,10,0,16,0,8,1,0,34,8,18,11,26,2,6,1,2,11,24,3,0,8,0,6,8,0,70,5,13,3,41,1,4,3,1,19,56,8,44,24,4,22,8,5,16,34,7,21,14,0,4,1,7,16,72,1,12,19,1,6,3,5,20,31,2,16,62,0,5,0,4,56,26,1,22,174,0,3,3,12,23,35,1,12,23,0,10,2,13,113,58,6,42,149,1,1,1,2,14,59,8,26,115,2,4,2,5,19,33,8,29,92,1,1,0,7,32,45,8,35,66,7,22,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;
Otu0023,22,10,14,13,13,15,14,11,1,17,10,11,22,14,19,1,8,6,21,16,20,27,37,36,16,25,2,10,12,13,14,32,30,8,1,1,21,16,32,46,20,52,20,7,8,11,6,12,22,22,22,5,11,1,11,5,9,30,24,23,16,4,3,21,19,21,29,24,46,10,4,17,16,26,37,37,21,45,9,0,12,5,11,18,16,17,23,1,2,10,5,4,12,15,8,14,3,5,5,2,3,7,10,12,10,5,3,9,19,7,6,11,24,9,0,4,6,16,9,29,29,58,34,18,7,11,6,6,4,2,15,34,8,5,5,8,8,14,44,18,43,6,10,27,3,2,9,29,11,38,11,4,12,23,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;
Otu0024,28,3,4,21,18,5,2,3,2,29,16,3,11,15,5,4,4,4,37,20,6,25,37,22,6,5,1,28,27,5,19,19,5,2,0,4,29,11,6,21,19,18,8,4,4,17,3,0,11,15,4,3,4,1,10,3,12,36,22,9,2,1,2,44,31,10,24,23,24,17,9,26,43,43,19,20,22,55,3,0,20,11,11,10,11,25,42,2,3,8,12,9,3,16,10,17,1,6,13,11,7,6,13,10,12,4,5,7,18,8,5,11,11,22,6,4,7,60,16,14,26,33,29,21,6,10,11,14,3,7,11,20,1,4,4,30,9,8,23,18,19,3,7,22,3,7,3,33,14,51,7,3,17,24,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1;
Otu0025,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,3,0,0,0,2,3,0,0,0,1,1,0,0,0,1,2,0,0,1,3,0,0,1,1,0,0,0,1,0,0,1,5,0,0,0,0,1,1,2,0,0,1,0,3,2,5,3,0,27,5,5,0,6,10,3,56,0,7,1,3,0,0,1,3,61,0,4,109,22,0,1,13,1,225,0,3,1,5,1,0,27,3,5,1,5,0,20,2,0,16,2,6,0,2,0,11,2,3,7,6,88,0,286,1,325,1,4,6,0,51,1,53,1,16,0,1,4,17,37,3,280,1,49,2,2,46,14,40,0,96,10,59,25,Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;
Otu0026,0,28,2,0,0,4,29,4,0,4,6,1,4,0,1,10,16,0,4,17,0,7,3,9,15,63,3,1,4,3,1,2,6,4,11,1,215,3,2,4,0,6,5,19,3,0,0,0,5,5,0,2,16,0,4,2,1,13,5,0,13,18,3,10,16,0,12,1,38,58,71,3,110,36,12,3,3,8,16,26,0,2,3,3,2,2,2,2,27,2,1,3,3,4,0,59,9,44,1,2,11,0,2,0,1,10,3,3,6,26,0,4,0,2,6,17,0,20,13,282,43,5,148,32,11,5,0,1,1,1,2,1,5,8,0,1,1,0,2,1,2,17,4,3,0,123,1,3,1,29,18,11,4,26,Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;
Otu0027,8,3,17,6,6,3,17,39,1,10,3,4,6,5,5,9,27,4,15,3,10,11,9,14,9,97,4,9,9,10,4,9,16,8,11,2,10,1,9,5,3,20,15,50,2,6,1,5,4,10,6,7,57,1,6,3,9,8,6,4,16,95,4,20,8,24,24,16,14,43,71,12,62,12,38,30,10,22,10,12,4,14,6,16,14,12,4,4,19,1,13,2,12,6,10,3,5,59,3,11,1,9,4,5,2,14,42,6,25,4,8,10,14,12,5,31,1,61,2,21,20,40,17,47,54,6,5,1,4,1,18,9,15,18,0,19,3,7,23,14,9,9,30,5,1,1,6,28,16,7,6,19,4,27,Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;
Otu0028,0,0,3,40,28,0,16,8,4,0,0,3,64,27,0,10,38,3,0,0,9,73,45,0,9,92,0,0,1,3,32,28,1,7,3,0,1,0,4,109,42,0,8,23,1,0,0,1,39,57,0,9,66,1,1,0,2,97,32,1,10,14,2,4,24,5,17,10,11,8,76,27,3,18,17,6,6,15,3,13,21,1,6,5,4,12,4,1,20,13,1,3,5,11,5,3,3,11,11,1,3,5,0,4,3,1,1,8,2,2,1,5,10,5,0,38,16,5,11,10,14,21,5,12,13,5,0,5,1,2,5,18,1,5,3,7,4,5,9,2,7,4,6,39,1,5,1,17,5,4,2,2,82,28,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;
Otu0029,4,0,13,11,7,0,26,30,2,7,6,4,8,7,0,9,18,2,5,7,6,18,14,10,39,48,1,5,7,3,16,17,1,10,3,0,2,3,9,28,1,10,33,11,4,2,2,2,13,14,4,6,24,0,4,0,0,25,18,3,18,10,0,8,9,11,21,10,13,52,20,37,14,9,21,28,33,20,28,8,21,2,3,6,24,29,5,2,8,2,2,2,5,14,13,3,5,24,7,2,0,7,6,6,3,11,5,7,13,2,6,5,22,7,6,13,4,12,9,11,50,50,13,81,26,11,1,1,1,3,12,6,8,5,5,5,7,6,21,14,9,10,21,21,1,0,7,30,19,33,20,29,17,29,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;
Otu0030,11,9,8,17,35,3,7,8,0,5,9,3,8,28,16,9,1,0,7,13,23,9,46,17,34,9,0,9,13,0,2,39,18,4,3,0,9,3,11,19,36,42,42,4,1,6,1,9,7,38,5,13,2,2,3,4,8,25,82,9,22,5,0,7,11,9,4,23,22,18,0,2,10,12,5,5,15,12,9,0,18,1,4,5,4,23,23,0,1,1,3,1,2,7,15,3,2,0,3,2,0,5,4,12,6,10,0,3,3,2,4,4,27,7,4,0,3,10,3,7,10,29,15,17,1,3,0,5,1,4,19,31,27,0,1,6,4,3,9,10,27,18,1,2,1,3,1,12,25,23,27,1,0,30,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae_unclassified;
Otu0031,12,5,26,1,7,3,10,39,2,7,14,5,2,15,11,5,3,1,7,11,15,0,14,11,14,26,1,3,16,13,6,9,9,6,2,0,8,11,12,12,13,25,23,9,1,7,1,6,5,5,7,2,8,0,1,8,13,3,13,19,12,4,2,24,22,19,8,11,32,5,4,4,16,12,23,14,6,48,1,1,6,6,8,8,5,16,29,1,1,6,2,1,7,4,6,8,1,1,6,5,1,4,5,4,15,3,6,3,12,5,8,5,17,5,0,1,6,27,6,9,34,20,36,8,6,7,4,7,5,0,13,19,1,3,6,12,4,6,24,8,50,5,3,13,3,0,9,26,12,32,9,6,6,31,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;
Otu0032,17,11,4,7,7,8,10,49,0,6,10,2,4,3,11,6,7,0,10,13,10,7,4,30,20,16,1,4,15,2,12,8,18,1,4,1,6,8,4,5,6,31,49,16,1,5,3,2,0,7,11,13,6,3,4,5,3,8,9,8,11,8,1,10,23,4,13,9,19,20,5,13,32,17,5,14,2,24,7,0,13,14,5,2,12,7,14,0,2,6,12,4,4,6,3,6,5,3,7,8,3,1,9,3,5,8,9,6,7,4,3,6,4,10,4,1,3,29,9,6,12,10,11,14,14,4,4,4,1,4,6,11,14,1,1,9,9,1,13,6,29,5,22,11,4,2,1,22,7,16,11,15,4,32,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-002;
